state,model,mae,rmse,mape,smape
Oregon,XGBoost,4482586.5416666735,4995563.269937899,3.896894096962943,3.9936676545448537
Oregon,LSTM,1192781.523710953,1333153.2627972972,1.0403187304053694,1.039333022498489
Pennsylvania,SARIMA,6522764.6723370105,6861120.612358335,1.7918079143056937,1.8097615615091927
Pennsylvania,Prophet,8289268.2522125915,9833707.732929625,2.277073381278049,2.3142527323475415
Pennsylvania,XGBoost,8450356.124999985,8852338.969239106,2.321323405674553,2.3512891465537735
Pennsylvania,LSTM,3085911.5552054644,3370826.80282402,0.8477083595695221,0.8462941142949463
Rhode Island,SARIMA,319687.21329756966,380218.5110401778,1.2238163649830351,1.2150458033519334
Rhode Island,Prophet,572165.2488779705,740757.2391222803,2.1747142731308826,2.213028553850837
Rhode Island,XGBoost,208194.2906249999,241156.1555253073,0.7953864864079844,0.7947777790057617
Rhode Island,LSTM,150975.5468585207,176299.42805309847,0.5748874212418582,0.5752260034329879
South Carolina,SARIMA,2989843.571967479,3363697.2552220356,1.5327437723640436,1.547773321152562
South Carolina,Prophet,5229261.4838366285,6016981.768497618,2.684275725480494,2.732608207341707
South Carolina,XGBoost,6702787.610416666,7038206.742228761,3.4382544113849614,3.504774792710682
South Carolina,LSTM,1913364.38447278,2105128.4925915394,0.981933649972606,0.9797652612493997
South Dakota,SARIMA,765187.3131409758,810481.2274840004,2.6782354375978508,2.7191279522117693
South Dakota,Prophet,1309261.1702291556,1355109.5650412634,4.583414209719199,4.698946194030305
South Dakota,XGBoost,139949.30000000028,193005.07078431908,0.48922391724344716,0.4908246637298926
South Dakota,LSTM,142535.8879368496,161412.1332474851,0.4989737929645332,0.4987962106711402
Tennessee,SARIMA,4099149.5524252467,4529097.917314996,1.5776092344247163,1.5929632333704098
Tennessee,Prophet,5106234.609704547,6067230.298801659,1.9671407024343348,1.9945753130469337
Tennessee,XGBoost,7404403.085416682,7610608.065583653,2.8520860783795707,2.895769052494645
Tennessee,LSTM,2187212.2121782154,2669381.4516194714,0.8408684671389128,0.8446871481177544
Texas,SARIMA,28479226.67970586,29826498.837568626,3.153771125387984,3.2093270200612785
Texas,Prophet,23496313.535990342,26577725.383949965,2.600952122224478,2.6444691205544015
Texas,XGBoost,31607837.974999994,33981567.17190981,3.4991123943775904,3.5714051766325645
Texas,LSTM,5005022.711577266,5776411.832914306,0.5545901055731152,0.5554323386128586
Utah,SARIMA,2659992.2085128482,2751873.4607775905,3.157626013558949,3.211933043240913
Utah,Prophet,3233970.520018995,3448875.1498727417,3.8383522155859504,3.9241050041582195
Utah,XGBoost,1074604.9374999981,1106557.7376250175,1.2762156672846499,1.28491636906469
Utah,LSTM,754061.6238893662,839312.8667970618,0.8954192988223472,0.8958468809932519
Vermont,SARIMA,144451.99544791086,153337.98077942876,0.7966802466324203,0.8002735510703286
Vermont,Prophet,664887.83045898,756926.7481664212,3.6670454821439007,3.7565167956509735
Vermont,XGBoost,57536.108333333395,74306.07358067053,0.3173355047369278,0.31706846814019407
Vermont,LSTM,72931.18105188757,79985.91480210681,0.40220954489571126,0.40208270738305085
Virginia,SARIMA,3672662.447725743,4223197.510672847,1.2635551068809783,1.2742096281198247
Virginia,Prophet,6302501.703737266,7446302.214155792,2.1711157109856396,2.204569097528011
Virginia,XGBoost,10617250.070833303,10842929.90662014,3.6558022583734306,3.726916377508656
Virginia,LSTM,3231763.721823387,3662291.537478511,1.1119905277194642,1.1143466594773461
Washington,SARIMA,749573.4714022689,968234.5136351341,0.40024261324248417,0.40143029545420755
Washington,Prophet,5883956.630882107,6701354.063555725,3.1488018968893727,3.2146146798081845
Washington,XGBoost,1034298.0,1169127.5349117096,0.5536448693240669,0.5542197767055416
Washington,LSTM,872054.8896161877,1097715.653241809,0.4657226113671474,0.46703658625639605
West Virginia,SARIMA,807530.8356217872,1029519.1993835248,1.069824814074704,1.0622843248137674
West Virginia,Prophet,1389539.5104077104,1766846.380254002,1.8294033883922505,1.856888660526822
West Virginia,XGBoost,3520350.941666661,3589943.78090681,4.636266115719544,4.750851883484976
West Virginia,LSTM,783652.3132697996,908101.0793871746,1.0302223047022632,1.032692221967165
Wisconsin,SARIMA,2239595.071719706,2541662.450390032,1.4272304609628976,1.4404831277097847
Wisconsin,Prophet,3640081.953999929,4408947.704558867,2.3201027521769424,2.3603721463173533
Wisconsin,XGBoost,1452313.597916659,1622206.9179355635,0.9264371230159705,0.9313952533090237
Wisconsin,LSTM,1955376.1322292276,2206923.7415650324,1.246473657122234,1.2477821513606673
Wyoming,SARIMA,491648.1134278113,514796.60013395356,2.3167506069129327,2.34656923989799
Wyoming,Prophet,1150581.5274500907,1212462.0603576223,5.421681824373365,5.590200720316855
Wyoming,XGBoost,26069.874999999534,33251.47768723986,0.12288200665217075,0.12296297495126535
Wyoming,LSTM,57985.341497658286,70484.77190885975,0.27329783252133877,0.27360580906896903
